Date,Time,CED_METER_READING,CED_DAILY CONS.,Oven_METER _READING,Oven_DAILY _CONS.,PT_METER READING,PT_DAILY CONS.,REC_METER_READING,REC_DAILY_CONS.,CH1_METER READING,CH1_DAILY_CONS.,CH2_METER_READING,CH2_DAILY_CONS.,GasFlow_MR_kg,GasFlow_DC_kg
,,KWH,KWH,KWH,KWH,KWH,KWH,KWH,KWH,KWH,KWH,KWH,KWH,Kg,Kg
4/1/2019,5:23:05,182517,50,102333,8,51597,62,45465,0,866,1,380597,238,39277.24,0
4/1/2019,13:53:04,182624,107,102737,402,51814,217,45578,112,867,1,381305,699,39435.61,157.3945
4/1/2019,22:23:04,182717,94,103072,337,51916,103,45703,126,868,1,382425,1128,39555.8,121.168
4/2/2019,5:23:03,182769,52,103081,9,51952,35,45703,0,869,1,382729,304,39555.8,0
4/2/2019,13:53:02,182879,110,103506,423,52188,236,45928,224,871,2,383850,1112,39763.49,206.9609
4/2/2019,22:23:02,182967,88,103812,308,52261,74,46014,86,872,1,385058,1215,39860.98,98.21484
4/3/2019,5:23:02,183019,52,103820,8,52296,34,46014,0,873,1,385310,253,39860.98,0
4/3/2019,13:53:01,183130,111,104246,424,52534,238,46236,221,874,1,386479,1164,40069.8,207.8477
4/3/2019,22:23:00,183214,84,104616,372,52601,68,46322,87,875,1,387815,1341,40160.85,92.01953
4/4/2019,5:23:00,183265,51,104624,8,52636,34,46322,0,877,2,388182,367,40160.85,0
4/4/2019,13:52:59,183378,112,105055,430,52870,233,46551,229,878,1,389559,1366,40380.57,218.7305
4/4/2019,22:22:59,183456,78,105435,381,52915,45,46608,57,879,1,390916,1367,40451.35,71.76953
4/5/2019,5:22:58,183506,51,105443,8,52951,36,46608,0,880,1,391298,382,40451.35,0
4/5/2019,13:52:58,183618,111,105868,423,53194,243,46835,227,881,1,392582,1274,40667.57,215.4844
4/5/2019,22:22:57,183695,77,106141,275,53236,43,46885,50,883,2,393980,1406,40738.61,71.77734
4/6/2019,5:22:57,183745,50,106149,8,53273,36,46885,0,884,1,394515,536,40738.61,0
4/6/2019,13:52:56,183857,112,106576,426,53513,240,47114,227,885,1,395926,1406,40953.73,214.1563
4/6/2019,22:22:56,183938,81,106952,377,53558,46,47174,62,886,1,397308,1386,41027.93,74.92578
4/7/2019,5:22:55,183990,51,106953,1,53566,8,47174,0,887,1,397870,562,41027.93,0
4/7/2019,13:52:55,184057,68,106955,2,53570,4,47174,0,888,1,398617,742,41027.93,0
4/7/2019,22:22:54,184121,64,106957,2,53570,0,47174,0,890,2,399472,860,41027.93,0
4/8/2019,5:22:54,184171,49,106959,2,53606,35,47174,0,891,1,400006,534,41027.93,0
4/8/2019,13:52:53,184283,113,107375,415,53852,246,47408,232,892,1,401050,1044,41238.27,209.3555
4/8/2019,22:22:53,184358,74,107624,250,53880,29,47444,38,893,1,401898,848,41302.23,64.69141
4/9/2019,5:22:52,184410,52,107626,2,53920,39,47444,0,894,1,402204,306,41302.23,0
4/9/2019,13:52:52,184520,110,108065,437,54166,246,47690,245,896,2,403314,1105,41509.83,207.3555
4/9/2019,22:22:51,184594,75,108373,309,54184,19,47714,25,897,1,404499,1185,41549.38,39.79297
4/10/2019,5:22:51,184644,50,108374,1,54221,37,47714,0,898,1,404935,439,41549.38,0
4/10/2019,13:52:50,184754,110,108789,413,54461,239,47938,223,899,1,406366,1425,41763.36,213.0117
4/10/2019,22:22:50,184831,77,109125,337,54504,44,47983,45,900,1,407651,1290,41830.32,67.93359
4/11/2019,5:22:49,184882,51,109127,2,54539,35,47983,0,902,2,408146,491,41830.32,0
4/11/2019,13:52:49,184994,111,109544,416,54784,244,48212,228,903,1,409183,1035,70.45457,-41760.84
4/11/2019,22:22:48,185072,79,109918,375,54831,47,48266,55,904,1,410534,1351,136.5333,67.04872
4/12/2019,5:22:48,185123,51,109920,2,54862,30,48266,0,905,1,411102,572,136.5333,0
4/12/2019,13:52:47,185230,106,110330,408,55101,239,48496,229,906,1,412135,1029,351.0872,213.8288
4/12/2019,22:22:47,185313,84,110611,283,55138,38,48542,47,908,2,413318,1186,417.0627,66.70065
4/13/2019,5:22:46,185373,60,110612,1,55143,5,48542,0,909,1,413622,305,417.0627,0
4/13/2019,13:52:46,185433,60,110614,2,55143,0,48542,0,910,1,414304,682,417.0627,0
4/13/2019,22:22:46,185483,50,110616,2,55143,0,48542,0,911,1,415134,830,417.0627,0
4/14/2019,5:22:45,185530,46,110618,2,55143,0,48542,0,912,1,415408,274,417.0627,0
4/14/2019,13:52:44,185589,59,110620,2,55148,5,48542,0,913,1,416067,659,417.0627,0
4/14/2019,22:22:44,185651,63,110622,2,55151,3,48542,0,915,2,417176,1109,417.0627,0
4/15/2019,5:22:44,185700,49,110624,2,55200,49,48542,0,916,1,417635,459,417.0627,0
4/15/2019,13:52:43,185809,109,111055,429,55443,242,48732,189,917,1,418888,1247,637.4222,219.3948
4/15/2019,22:22:42,185890,81,111437,384,55499,57,48789,58,918,1,420179,1297,720.6963,83.99829
4/16/2019,5:22:42,185941,50,111439,2,55527,27,48789,0,919,1,420623,440,720.6963,0
4/16/2019,13:52:42,186046,106,111865,424,55769,242,49011,221,921,2,421558,933,934.6188,212.9609
4/16/2019,22:22:40,186117,71,112170,307,55785,17,49031,21,922,1,422469,912,974.4449,40.54767
4/17/2019,5:22:41,186167,50,112172,2,55818,32,49031,0,923,1,422520,53,974.4449,0
4/17/2019,13:52:40,186275,108,112597,423,56051,233,49241,210,924,1,423402,875,1191.697,216.274
4/17/2019,22:22:38,186338,62,113030,434,56056,5,49241,0,925,1,423830,436,1240.228,49.50916
4/18/2019,5:22:37,186388,50,113032,2,56094,37,49241,0,926,1,423904,74,1240.228,0
4/18/2019,13:52:36,186490,102,113447,413,56337,243,49461,220,928,2,424766,852,1454.258,213.0503
4/18/2019,22:22:36,186563,73,113768,322,56377,41,49510,49,929,1,425501,744,1519.043,65.7644
4/19/2019,5:22:35,186613,50,113770,2,56416,38,49510,0,930,1,425740,235,1519.043,0
4/19/2019,13:52:35,186714,100,114178,406,56659,243,49754,243,931,1,426943,1201,1726.61,206.5822
4/19/2019,22:22:34,186782,69,114410,234,56679,21,49782,29,933,2,427911,973,1778.12,52.49487
4/20/2019,5:22:34,186830,48,114411,1,56707,28,49782,0,934,1,428282,367,1778.12,0
4/20/2019,13:52:33,186937,106,114829,416,56952,244,50021,239,935,1,429493,1203,1993.048,213.9463
4/20/2019,22:22:32,187010,74,115137,310,56973,22,50050,29,936,1,430699,1212,2037.244,45.1781
4/21/2019,5:22:32,187059,48,115139,2,56979,6,50050,0,937,1,431062,366,2037.244,0
4/21/2019,13:52:32,187125,67,115141,2,56982,3,50050,0,938,1,431729,667,2037.244,0
4/21/2019,22:22:30,187184,59,115143,2,56984,2,50050,0,940,2,432825,1096,2037.244,0
4/22/2019,5:22:31,187232,48,115145,2,57031,46,50050,0,941,1,433237,412,2037.244,0
4/22/2019,13:52:30,187340,107,115561,414,57278,247,50275,224,942,1,434646,1403,2250.481,212.2599
4/22/2019,22:22:30,187409,70,115887,328,57293,16,50299,25,943,1,435947,1302,2296.289,46.78467
4/23/2019,5:22:30,187459,49,115889,2,57327,33,50299,0,944,1,436466,523,2296.289,0
4/23/2019,13:52:29,187566,108,116308,418,57580,252,50540,239,946,2,437604,1133,2513.637,216.6177
4/23/2019,22:22:29,187638,71,116657,350,57605,26,50583,44,947,1,439016,1412,2569.346,56.4397
4/24/2019,5:22:28,187686,49,116659,2,57641,35,50583,0,948,1,439765,750,2569.346,0
4/24/2019,13:52:28,187791,105,117067,406,57890,249,50822,238,949,1,440898,1131,2783.262,212.947
4/24/2019,22:22:26,187863,72,117326,261,57932,43,50873,52,950,1,442486,1593,2848.948,66.41089
4/25/2019,5:22:27,187910,47,117327,1,57966,33,50873,0,951,1,443106,611,2848.948,0
4/25/2019,13:52:27,188018,107,117730,402,58210,244,51116,242,953,2,444539,1435,3060.533,210.6201
4/25/2019,22:22:25,188099,82,118080,351,58246,37,51167,52,954,1,445935,1397,3123.828,64.01831
4/26/2019,5:22:26,188153,54,118082,2,58268,21,51167,0,955,1,446624,694,3123.828,0
4/26/2019,13:52:25,188265,112,118498,415,58513,245,51411,242,956,1,447811,1187,3342.461,217.668
4/26/2019,22:22:25,188344,79,118859,362,58546,34,51457,48,1033,76,447823,12,3401.781,60.28442
4/27/2019,5:22:25,188396,52,118860,1,58579,32,51457,0,1186,153,447823,0,3401.781,0
4/27/2019,13:52:25,188507,111,119272,411,58822,243,51708,250,1296,111,447823,0,3617.77,215.0061
4/27/2019,22:22:24,188575,68,119595,324,58838,17,51726,18,1416,120,447823,0,3654.441,37.65405
4/28/2019,5:22:24,188626,50,119597,2,58844,6,51726,0,1521,104,447823,0,3654.441,0
4/28/2019,13:52:24,188688,63,119599,2,58845,1,51726,0,1602,82,447823,0,3654.441,0
4/28/2019,22:22:23,188748,60,119601,2,58848,3,51726,0,1746,144,447823,0,3654.441,0
4/29/2019,5:22:24,188797,49,119603,2,58885,36,51726,0,1802,56,447823,0,3654.441,0
4/29/2019,13:52:24,188900,103,120005,401,59134,249,51961,234,1972,168,447823,0,3865.19,209.7717
4/29/2019,22:22:23,188973,73,120159,155,59164,31,52007,47,2119,148,447823,0,3933.206,68.99316
4/30/2019,5:22:23,189023,50,120160,1,59201,36,52007,0,2176,55,447823,0,3933.206,0
4/30/2019,13:52:23,189133,109,120572,411,59446,245,52241,233,2340,165,447823,0,4136.679,202.7383
4/30/2019,22:22:22,189210,78,120918,347,59470,25,52271,31,2519,180,447823,0,4186.984,51.04004
5/1/2019,5:22:23,189261,51,120926,8,59515,44,52271,0,2576,57,447823,0,4186.984,0
5/1/2019,13:52:22,189372,111,121336,408,59753,238,52496,224,2753,177,447823,0,4394.306,206.3569
5/1/2019,22:22:22,189446,74,121713,379,59784,32,52538,43,2929,175,447823,0,4457.762,64.42139
5/2/2019,5:22:22,189497,51,121721,8,59819,35,52538,0,2979,51,447823,0,4457.762,0
